"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"ApplicationFrameHost","1","481","2203589484544","29638656","21671936","27328","C:\WINDOWS\system32\ApplicationFrameHost.exe","Microsoft Corporation","0.34375","10.0.19041.746 (WinBuild.160101.0800)","10.0.19041.746","Application Frame Host","Microsoft? Windows? Operating System","Process","8",,"False",,"5240","Microsoft.Win32.SafeHandles.SafeProcessHandle","481","1248",".","2098358","Calculator","System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","27328","27328","21671936","21671936","405480","405480","23674880","23674880","34738176","34738176","278241280","2203596464128","True","Normal","21671936","21671936","00:00:00.2343750","ApplicationFrameHost","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 9:01:51 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.3437500","00:00:00.1093750","271261696","2203589484544","False",,,,"29638656","29638656",,
"Calculator","1","484","4598407168","48566272","13635584","23776","C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_10.1906.55.0_x64__8wekyb3d8bbwe\Calculator.exe","Microsoft Corporation","0.546875","10.1906.55.0","10.1906.55.0","Calculator.exe","Microsoft Calculator","Process","8",,"False",,"5528","Microsoft.Win32.SafeHandles.SafeProcessHandle","484","1868",".","0","","System.Diagnostics.ProcessModule (Calculator.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","23776","23776","13635584","13635584","550592","550592","14860288","14860288","50028544","50028544","323366912","4618334208","True","Normal","13635584","13635584","00:00:00.2968750","Calculator","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 10:40:27 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.5468750","00:00:00.2500000","303439872","4598407168","False",,,,"48566272","48566272",,
"charmap","1","222","2203472384000","1163264","4501504","15224","C:\WINDOWS\system32\charmap.exe","Microsoft Corporation","0.3125","5.2.3668.0","5.2.3668.0","Character Map","Microsoft? Windows? Operating System","Process","8",,"False",,"5924","Microsoft.Win32.SafeHandles.SafeProcessHandle","222","5512",".","1377666","Character Map","System.Diagnostics.ProcessModule (charmap.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","15224","15224","4501504","4501504","208456","208456","4734976","4734976","16908288","16908288","162512896","2203480735744","True","Normal","4501504","4501504","00:00:00.2500000","charmap","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 10:41:01 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.3125000","00:00:00.0625000","154161152","2203472384000","False",,,,"1163264","1163264",,
"ChsIME","1","141","2203414716416","5599232","1454080","8136","C:\Windows\System32\InputMethod\CHS\ChsIME.exe","Microsoft Corporation","0.046875","10.0.19041.746 (WinBuild.160101.0800)","10.0.19041.746","Microsoft IME","Microsoft? Windows? Operating System","Process","8",,"False",,"5048","Microsoft.Win32.SafeHandles.SafeProcessHandle","141","4160",".","0","","System.Diagnostics.ProcessModule (ChsIME.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","8136","8136","1454080","1454080","124168","124168","1601536","1601536","8019968","8019968","99115008","2203417337856","True","Normal","1454080","1454080","00:00:00.0312500","ChsIME","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 8:59:03 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0468750","00:00:00.0156250","96493568","2203414716416","False",,,,"5599232","5599232",,
"ChtIME","1","129","2203406426112","5394432","1327104","8000","C:\Windows\System32\InputMethod\CHT\ChtIME.exe","Microsoft Corporation","0.015625","10.0.19041.746 (WinBuild.160101.0800)","10.0.19041.746","Microsoft IME","Microsoft? Windows? Operating System","Process","8",,"False",,"6008","Microsoft.Win32.SafeHandles.SafeProcessHandle","129","2004",".","0","","System.Diagnostics.ProcessModule (ChtIME.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","8000","8000","1327104","1327104","107960","107960","1499136","1499136","7639040","7639040","91348992","2203409571840","True","Normal","1327104","1327104","00:00:00.0156250","ChtIME","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 8:59:03 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0156250","00:00:00","88203264","2203406426112","False",,,,"5394432","5394432",,
"conhost","1","270","2203480408064","53248","5029888","14272","C:\WINDOWS\system32\conhost.exe","Microsoft Corporation","0.328125","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Console Window Host","Microsoft? Windows? Operating System","Process","8",,"False",,"2964","Microsoft.Win32.SafeHandles.SafeProcessHandle","270","7892",".","0","","System.Diagnostics.ProcessModule (conhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","14272","14272","5029888","5029888","232312","232312","5197824","5197824","23580672","23580672","172580864","2203490803712","True","Normal","5029888","5029888","00:00:00.2656250","conhost","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 9:33:12 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.3281250","00:00:00.0625000","162185216","2203480408064","False",,,,"53248","53248",,
"csrss","0","472","2203413700608","4456448","1818624","22224",,,"0.921875",,,,,"Process","13",,,,,,"472","584",".","0","",,,,,"22224","22224","1818624","1818624","248032","248032","2031616","2031616","5636096","5636096","98033664","2203416256512",,,"1818624","1818624","00:00:00.7656250","csrss",,"True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 8:52:10 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.9218750","00:00:00.1562500","95477760","2203413700608","False",,,,"4456448","4456448",,
"csrss","1","374","2203458277376","5672960","2281472","19672",,,"8.203125",,,,,"Process","13",,,,,,"374","676",".","0","",,,,,"19672","19672","2281472","2281472","271288","271288","2437120","2437120","7155712","7155712","142434304","2203460657152",,,"2281472","2281472","00:00:07.9375000","csrss",,"True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 8:52:10 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:08.2031250","00:00:00.2656250","140054528","2203458277376","False",,,,"5672960","5672960",,
"ctfmon","1","610","2203610877952","18100224","7192576","22888","C:\WINDOWS\system32\ctfmon.exe","Microsoft Corporation","4.25","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","CTF Loader","Microsoft? Windows? Operating System","Process","13",,"False",,"2564","Microsoft.Win32.SafeHandles.SafeProcessHandle","610","5216",".","0","","System.Diagnostics.ProcessModule (ctfmon.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","22888","22888","7192576","7192576","494728","494728","7262208","7262208","20934656","20934656","295538688","2203613761536","True","High","7192576","7192576","00:00:03.1718750","ctfmon","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 8:59:02 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:04.2500000","00:00:01.0781250","292655104","2203610877952","False",,,,"18100224","18100224",,
"dllhost","1","232","2203467886592","10833920","3616768","16176","C:\WINDOWS\system32\DllHost.exe","Microsoft Corporation","0.21875","10.0.19041.546 (WinBuild.160101.0800)","10.0.19041.546","COM Surrogate","Microsoft? Windows? Operating System","Process","8",,"False",,"5928","Microsoft.Win32.SafeHandles.SafeProcessHandle","232","6884",".","0","","System.Diagnostics.ProcessModule (DllHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","16176","16176","3616768","3616768","151656","151656","6172672","6172672","13807616","13807616","162222080","2203480444928","True","Normal","3616768","3616768","00:00:00.1093750","dllhost","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 8:59:21 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2187500","00:00:00.1093750","149663744","2203467886592","False",,,,"10833920","10833920",,
