"Name","Id","PriorityClass","FileVersion","HandleCount","WorkingSet","PagedMemorySize","PrivateMemorySize","VirtualMemorySize","TotalProcessorTime","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","UserProcessorTime","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","Site","Container"
"ApplicationFrameHost","1248","Normal","10.0.19041.746 (WinBuild.160101.0800)","499","21491712","17780736","17780736","271785984","00:00:00.5312500","1","499","2203590008832","21491712","17780736","28960","C:\WINDOWS\system32\ApplicationFrameHost.exe","Microsoft Corporation","0.53125","10.0.19041.746","Application Frame Host","Microsoft? Windows? Operating System","Process","8",,"False",,"5848","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","2098358","Calculator","System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","28960","28960","17780736","410464","410464","23674880","23674880","34738176","34738176","278241280","2203596464128","True","17780736","00:00:00.3437500","ApplicationFrameHost","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 9:01:51 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1875000","2203590008832","False",,,,"21491712",,
"Calculator","1868","Normal","10.1906.55.0","484","34004992","13615104","13615104","303439872","00:00:00.6718750","1","484","4598407168","34004992","13615104","23776","C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_10.1906.55.0_x64__8wekyb3d8bbwe\Calculator.exe","Microsoft Corporation","0.671875","10.1906.55.0","Calculator.exe","Microsoft Calculator","Process","8",,"False",,"4988","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","0","","System.Diagnostics.ProcessModule (Calculator.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","23776","23776","13615104","550592","550592","14860288","14860288","50028544","50028544","323366912","4618334208","True","13615104","00:00:00.3750000","Calculator","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 10:40:27 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2968750","4598407168","False",,,,"34004992",,
"charmap","5512","Normal","5.2.3668.0","222","356352","4501504","4501504","154161152","00:00:00.3281250","1","222","2203472384000","356352","4501504","15224","C:\WINDOWS\system32\charmap.exe","Microsoft Corporation","0.328125","5.2.3668.0","Character Map","Microsoft? Windows? Operating System","Process","8",,"False",,"5192","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","1377666","Character Map","System.Diagnostics.ProcessModule (charmap.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","15224","15224","4501504","208456","208456","4734976","4734976","16908288","16908288","162512896","2203480735744","True","4501504","00:00:00.2656250","charmap","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 10:41:01 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0625000","2203472384000","False",,,,"356352",,
"ChsIME","4160","Normal","10.0.19041.746 (WinBuild.160101.0800)","141","4911104","1454080","1454080","96493568","00:00:00.0468750","1","141","2203414716416","4911104","1454080","8136","C:\Windows\System32\InputMethod\CHS\ChsIME.exe","Microsoft Corporation","0.046875","10.0.19041.746","Microsoft IME","Microsoft? Windows? Operating System","Process","8",,"False",,"4788","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","0","","System.Diagnostics.ProcessModule (ChsIME.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","8136","8136","1454080","124168","124168","1601536","1601536","8019968","8019968","99115008","2203417337856","True","1454080","00:00:00.0312500","ChsIME","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 8:59:03 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0156250","2203414716416","False",,,,"4911104",,
"ChtIME","2004","Normal","10.0.19041.746 (WinBuild.160101.0800)","129","4710400","1327104","1327104","88203264","00:00:00.0156250","1","129","2203406426112","4710400","1327104","8000","C:\Windows\System32\InputMethod\CHT\ChtIME.exe","Microsoft Corporation","0.015625","10.0.19041.746","Microsoft IME","Microsoft? Windows? Operating System","Process","8",,"False",,"5048","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","0","","System.Diagnostics.ProcessModule (ChtIME.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","8000","8000","1327104","107960","107960","1499136","1499136","7639040","7639040","91348992","2203409571840","True","1327104","00:00:00.0156250","ChtIME","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 8:59:03 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00","2203406426112","False",,,,"4710400",,
"conhost","7892","Normal","10.0.19041.1 (WinBuild.160101.0800)","272","1077248","5058560","5058560","162332672","00:00:00.3750000","1","272","2203480555520","1077248","5058560","14536","C:\WINDOWS\system32\conhost.exe","Microsoft Corporation","0.375","10.0.19041.1","Console Window Host","Microsoft? Windows? Operating System","Process","8",,"False",,"5220","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","0","","System.Diagnostics.ProcessModule (conhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","14536","14536","5058560","232600","232600","5197824","5197824","23580672","23580672","172580864","2203490803712","True","5058560","00:00:00.2968750","conhost","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 9:33:12 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0781250","2203480555520","False",,,,"1077248",,
"csrss","584",,,"507","4014080","1802240","1802240","95608832","00:00:01.1250000","0","507","2203413831680","4014080","1802240","22496",,,"1.125",,,,"Process","13",,,,,,".","0","",,,,,"22496","22496","1802240","249440","249440","2031616","2031616","5636096","5636096","98033664","2203416256512",,"1802240","00:00:00.9062500","csrss",,"True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 8:52:10 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2187500","2203413831680","False",,,,"4014080",,
"csrss","676",,,"474","5087232","2338816","2338816","148086784","00:00:16.0781250","1","474","2203466309632","5087232","2338816","22256",,,"16.078125",,,,"Process","13",,,,,,".","0","",,,,,"22256","22256","2338816","308224","308224","2478080","2478080","11190272","11190272","175628288","2203493851136",,"2338816","00:00:15.7343750","csrss",,"True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 8:52:10 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.3437500","2203466309632","False",,,,"5087232",,
"ctfmon","5216","High","10.0.19041.1 (WinBuild.160101.0800)","622","14102528","7774208","7774208","296325120","00:00:10.7968750","1","622","2203614547968","14102528","7774208","22888","C:\WINDOWS\system32\ctfmon.exe","Microsoft Corporation","10.796875","10.0.19041.1","CTF Loader","Microsoft? Windows? Operating System","Process","13",,"False",,"5564","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","0","","System.Diagnostics.ProcessModule (ctfmon.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","22888","22888","7774208","494728","494728","7864320","7864320","20934656","20934656","299864064","2203618086912","True","7774208","00:00:07.7500000","ctfmon","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 8:59:02 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:03.0468750","2203614547968","False",,,,"14102528",,
"dllhost","6884","Normal","10.0.19041.546 (WinBuild.160101.0800)","233","8130560","3616768","3616768","149663744","00:00:00.2187500","1","233","2203467886592","8130560","3616768","16176","C:\WINDOWS\system32\DllHost.exe","Microsoft Corporation","0.21875","10.0.19041.546","COM Surrogate","Microsoft? Windows? Operating System","Process","8",,"False",,"5560","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","0","","System.Diagnostics.ProcessModule (DllHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","16176","16176","3616768","151656","151656","6172672","6172672","13807616","13807616","162222080","2203480444928","True","3616768","00:00:00.1093750","dllhost","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 8:59:21 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1093750","2203467886592","False",,,,"8130560",,
"dllhost","7928","Normal","10.0.19041.546 (WinBuild.160101.0800)","204","6930432","3764224","3764224","130220032","00:00:00.0781250","0","204","2203448442880","6930432","3764224","17400","C:\WINDOWS\system32\DllHost.exe","Microsoft Corporation","0.078125","10.0.19041.546","COM Surrogate","Microsoft? Windows? Operating System","Process","8",,"False",,"4492","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","0","","System.Diagnostics.ProcessModule (DllHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","17400","17400","3764224","111792","111792","3923968","3923968","12267520","12267520","137134080","2203455356928","True","3764224","00:00:00.0468750","dllhost","15","True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 9:03:45 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0312500","2203448442880","False",,,,"6930432",,
