"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"ApplicationFrameHost","1","481","2203573927936","34529280","18608128","27464","C:\WINDOWS\system32\ApplicationFrameHost.exe","Microsoft Corporation","0.265625","10.0.19041.746 (WinBuild.160101.0800)","10.0.19041.746","Application Frame Host","Microsoft? Windows? Operating System","Process","8",,"False",,"6676","Microsoft.Win32.SafeHandles.SafeProcessHandle","481","5836",".","131776","Settings","System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","27464","27464","18608128","18608128","407288","407288","20590592","20590592","34951168","34951168","261603328","2203579826176","True","Normal","18608128","18608128","00:00:00.1406250","ApplicationFrameHost","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 9:23:31 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2656250","00:00:00.1250000","255705088","2203573927936","False",,,,"34529280","34529280",,
"Calculator","1","507","4604874752","48750592","13238272","25136","C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_10.1906.55.0_x64__8wekyb3d8bbwe\Calculator.exe","Microsoft Corporation","0.515625","10.1906.55.0","10.1906.55.0","Calculator.exe","Microsoft Calculator","Process","8",,"False",,"6736","Microsoft.Win32.SafeHandles.SafeProcessHandle","507","7192",".","1705048","Calculator","System.Diagnostics.ProcessModule (Calculator.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","25136","25136","13238272","13238272","570504","570504","14884864","14884864","50114560","50114560","322400256","4617367552","True","Normal","13238272","13238272","00:00:00.2031250","Calculator","15","False","1","System.Diagnostics.ProcessStartInfo","3/17/2025 10:40:46 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.5156250","00:00:00.3125000","309907456","4604874752","False",,,,"48750592","48750592",,
"charmap","1","222","2203472384000","1437696","4509696","15224","C:\WINDOWS\system32\charmap.exe","Microsoft Corporation","0.25","5.2.3668.0","5.2.3668.0","Character Map","Microsoft? Windows? Operating System","Process","8",,"False",,"6508","Microsoft.Win32.SafeHandles.SafeProcessHandle","222","2580",".","1049746","Character Map","System.Diagnostics.ProcessModule (charmap.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","15224","15224","4509696","4509696","208680","208680","5730304","5730304","16887808","16887808","159227904","2203477450752","True","Normal","4509696","4509696","00:00:00.1718750","charmap","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 10:41:03 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2500000","00:00:00.0781250","154161152","2203472384000","False",,,,"1437696","1437696",,
"ChsIME","1","141","2203414716416","7249920","1478656","8136","C:\Windows\System32\InputMethod\CHS\ChsIME.exe","Microsoft Corporation","0.03125","10.0.19041.746 (WinBuild.160101.0800)","10.0.19041.746","Microsoft IME","Microsoft? Windows? Operating System","Process","8",,"False",,"6196","Microsoft.Win32.SafeHandles.SafeProcessHandle","141","6704",".","0","","System.Diagnostics.ProcessModule (ChsIME.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","8136","8136","1478656","1478656","124152","124152","1691648","1691648","8036352","8036352","100163584","2203418386432","True","Normal","1478656","1478656","00:00:00.0312500","ChsIME","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 9:21:05 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0312500","00:00:00","96493568","2203414716416","False",,,,"7249920","7249920",,
"ChtIME","1","129","2203406426112","6897664","1347584","8000","C:\Windows\System32\InputMethod\CHT\ChtIME.exe","Microsoft Corporation","0","10.0.19041.746 (WinBuild.160101.0800)","10.0.19041.746","Microsoft IME","Microsoft? Windows? Operating System","Process","8",,"False",,"6416","Microsoft.Win32.SafeHandles.SafeProcessHandle","129","6492",".","0","","System.Diagnostics.ProcessModule (ChtIME.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","8000","8000","1347584","1347584","107960","107960","1527808","1527808","7614464","7614464","91348992","2203409571840","True","Normal","1347584","1347584","00:00:00","ChtIME","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 9:21:05 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00","00:00:00","88203264","2203406426112","False",,,,"6897664","6897664",,
"conhost","1","272","2203481731072","1003520","5275648","14544","C:\WINDOWS\system32\conhost.exe","Microsoft Corporation","0.40625","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Console Window Host","Microsoft? Windows? Operating System","Process","8",,"False",,"6744","Microsoft.Win32.SafeHandles.SafeProcessHandle","272","2948",".","0","","System.Diagnostics.ProcessModule (conhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","14544","14544","5275648","5275648","228752","228752","6492160","6492160","22360064","22360064","169676800","2203487899648","True","Normal","5275648","5275648","00:00:00.3750000","conhost","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 9:33:20 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.4062500","00:00:00.0312500","163508224","2203481731072","False",,,,"1003520","1003520",,
"csrss","0","456","2203413307392","5099520","1716224","21816",,,"0.609375",,,,,"Process","13",,,,,,"456","588",".","0","",,,,,"21816","21816","1716224","1716224","242400","242400","2002944","2002944","5566464","5566464","98295808","2203416518656",,,"1716224","1716224","00:00:00.4843750","csrss",,"True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 9:18:51 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.6093750","00:00:00.1250000","95084544","2203413307392","False",,,,"5099520","5099520",,
"csrss","1","354","2203416522752","5271552","2109440","19264",,,"12.9375",,,,,"Process","13",,,,,,"354","680",".","0","",,,,,"19264","19264","2109440","2109440","196768","196768","2285568","2285568","5767168","5767168","101601280","2203419824128",,,"2109440","2109440","00:00:12.8125000","csrss",,"True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 9:18:51 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:12.9375000","00:00:00.1250000","98299904","2203416522752","False",,,,"5271552","5271552",,
"ctfmon","1","479","2203458895872","20369408","4476928","16360","C:\WINDOWS\system32\ctfmon.exe","Microsoft Corporation","3.765625","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","CTF Loader","Microsoft? Windows? Operating System","Process","13",,"False",,"6396","Microsoft.Win32.SafeHandles.SafeProcessHandle","479","4488",".","0","","System.Diagnostics.ProcessModule (ctfmon.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","16360","16360","4476928","4476928","197376","197376","4546560","4546560","21274624","21274624","144285696","2203462508544","True","High","4476928","4476928","00:00:02.7343750","ctfmon","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 9:21:04 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:03.7656250","00:00:01.0312500","140673024","2203458895872","False",,,,"20369408","20369408",,
"dllhost","0","205","2203448147968","10584064","3334144","16720","C:\WINDOWS\system32\DllHost.exe","Microsoft Corporation","0.09375","10.0.19041.546 (WinBuild.160101.0800)","10.0.19041.546","COM Surrogate","Microsoft? Windows? Operating System","Process","8",,"False",,"6200","Microsoft.Win32.SafeHandles.SafeProcessHandle","205","6096",".","0","","System.Diagnostics.ProcessModule (DllHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","16720","16720","3334144","3334144","111504","111504","3588096","3588096","12423168","12423168","136056832","2203454279680","True","Normal","3334144","3334144","00:00:00.0937500","dllhost","15","True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 9:26:49 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0937500","00:00:00","129925120","2203448147968","False",,,,"10584064","10584064",,
