"Name","Id","PriorityClass","FileVersion","HandleCount","WorkingSet","PagedMemorySize","PrivateMemorySize","VirtualMemorySize","TotalProcessorTime","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","UserProcessorTime","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","Site","Container"
"ApplicationFrameHost","5836","Normal","10.0.19041.746 (WinBuild.160101.0800)","495","34574336","16896000","16896000","256225280","00:00:00.5312500","1","495","2203574448128","34574336","16896000","29232","C:\WINDOWS\system32\ApplicationFrameHost.exe","Microsoft Corporation","0.53125","10.0.19041.746","Application Frame Host","Microsoft? Windows? Operating System","Process","8",,"False",,"2152","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","1967404","Calculator","System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","29232","29232","16896000","412168","412168","21151744","21151744","37240832","37240832","261623808","2203579846656","True","16896000","00:00:00.3125000","ApplicationFrameHost","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 9:23:31 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2187500","2203574448128","False",,,,"34574336",,
"Calculator","1472","Normal","10.1906.55.0","527","1208320","13058048","13058048","315588608","00:00:00.2343750","1","527","4610555904","1208320","13058048","25544","C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_10.1906.55.0_x64__8wekyb3d8bbwe\Calculator.exe","Microsoft Corporation","0.234375","10.1906.55.0","Calculator.exe","Microsoft Calculator","Process","8",,"False",,"1516","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","1311994","Calculator","System.Diagnostics.ProcessModule (Calculator.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","25544","25544","13058048","550728","550728","13856768","13856768","47235072","47235072","319782912","4614750208","True","13058048","00:00:00.1093750","Calculator","15","False","1","System.Diagnostics.ProcessStartInfo","3/17/2025 1:17:13 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1250000","4610555904","False",,,,"1208320",,
"ChsIME","6704","Normal","10.0.19041.746 (WinBuild.160101.0800)","141","7258112","1478656","1478656","96493568","00:00:00.0468750","1","141","2203414716416","7258112","1478656","8136","C:\Windows\System32\InputMethod\CHS\ChsIME.exe","Microsoft Corporation","0.046875","10.0.19041.746","Microsoft IME","Microsoft? Windows? Operating System","Process","8",,"False",,"888","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","0","","System.Diagnostics.ProcessModule (ChsIME.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","8136","8136","1478656","124152","124152","1691648","1691648","8036352","8036352","100163584","2203418386432","True","1478656","00:00:00.0312500","ChsIME","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 9:21:05 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0156250","2203414716416","False",,,,"7258112",,
"ChtIME","6492","Normal","10.0.19041.746 (WinBuild.160101.0800)","129","6905856","1347584","1347584","88203264","00:00:00","1","129","2203406426112","6905856","1347584","8000","C:\Windows\System32\InputMethod\CHT\ChtIME.exe","Microsoft Corporation","0","10.0.19041.746","Microsoft IME","Microsoft? Windows? Operating System","Process","8",,"False",,"4856","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","0","","System.Diagnostics.ProcessModule (ChtIME.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","8000","8000","1347584","107960","107960","1527808","1527808","7614464","7614464","91348992","2203409571840","True","1347584","00:00:00","ChtIME","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 9:21:05 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00","2203406426112","False",,,,"6905856",,
"csrss","588",,,"500","4972544","1748992","1748992","95412224","00:00:00.7968750","0","500","2203413635072","4972544","1748992","22496",,,"0.796875",,,,"Process","13",,,,,,".","0","",,,,,"22496","22496","1748992","249184","249184","2002944","2002944","5566464","5566464","98295808","2203416518656",,"1748992","00:00:00.6562500","csrss",,"True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 9:18:51 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1406250","2203413635072","False",,,,"4972544",,
"csrss","680",,,"464","5468160","2162688","2162688","105930752","00:00:31.5156250","1","464","2203424153600","5468160","2162688","20488",,,"31.515625",,,,"Process","13",,,,,,".","0","",,,,,"20488","20488","2162688","223832","223832","2285568","2285568","5767168","5767168","116301824","2203434524672",,"2162688","00:00:31.2187500","csrss",,"True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 9:18:51 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2968750","2203424153600","False",,,,"5468160",,
"ctfmon","4488","High","10.0.19041.1 (WinBuild.160101.0800)","470","20877312","5042176","5042176","143294464","00:00:12.2968750","1","470","2203461517312","20877312","5042176","16632","C:\WINDOWS\system32\ctfmon.exe","Microsoft Corporation","12.296875","10.0.19041.1","CTF Loader","Microsoft? Windows? Operating System","Process","13",,"False",,"4248","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","0","","System.Diagnostics.ProcessModule (ctfmon.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","16632","16632","5042176","201472","201472","5111808","5111808","21274624","21274624","146374656","2203464597504","True","5042176","00:00:08.5781250","ctfmon","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 9:21:04 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:03.7187500","2203461517312","False",,,,"20877312",,
"dllhost","6096","Normal","10.0.19041.546 (WinBuild.160101.0800)","204","11051008","3624960","3624960","130187264","00:00:00.1093750","0","204","2203448410112","11051008","3624960","17264","C:\WINDOWS\system32\DllHost.exe","Microsoft Corporation","0.109375","10.0.19041.546","COM Surrogate","Microsoft? Windows? Operating System","Process","8",,"False",,"4072","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","0","","System.Diagnostics.ProcessModule (DllHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","17264","17264","3624960","112016","112016","3796992","3796992","12423168","12423168","136056832","2203454279680","True","3624960","00:00:00.1093750","dllhost","15","True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 9:26:49 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00","2203448410112","False",,,,"11051008",,
"dllhost","6484","Normal","10.0.19041.546 (WinBuild.160101.0800)","118","6615040","1347584","1347584","87097344","00:00:00.0156250","1","118","2203405320192","6615040","1347584","7608","C:\WINDOWS\system32\DllHost.exe","Microsoft Corporation","0.015625","10.0.19041.546","COM Surrogate","Microsoft? Windows? Operating System","Process","8",,"False",,"5008","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","0","","System.Diagnostics.ProcessModule (DllHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","7608","7608","1347584","101096","101096","1679360","1679360","7303168","7303168","93396992","2203411619840","True","1347584","00:00:00","dllhost","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 1:28:55 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0156250","2203405320192","False",,,,"6615040",,
"dllhost","7720","Normal","10.0.19041.546 (WinBuild.160101.0800)","230","11755520","3584000","3584000","149860352","00:00:00.2187500","1","230","2203468083200","11755520","3584000","16584","C:\WINDOWS\system32\DllHost.exe","Microsoft Corporation","0.21875","10.0.19041.546","COM Surrogate","Microsoft? Windows? Operating System","Process","8",,"False",,"3568","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","0","","System.Diagnostics.ProcessModule (DllHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","16584","16584","3584000","145224","145224","5173248","5173248","13733888","13733888","158617600","2203476840448","True","3584000","00:00:00.1718750","dllhost","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 9:21:25 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0468750","2203468083200","False",,,,"11755520",,
